№,Страна,Регион,Город,Трасса,Месторасположение,Бренд,Бензин,ДТ,ГАЗ,Мойка,Доп. услуги,Категория
2042,РОССИЯ,Иркутская область,Солзан,,"Иркутская область, п. Солзан, ул. Гагарина, 58",АЗС,+,+,,,,A
2043,РОССИЯ,Иркутская область,Средний,М53,"АЗС №6 м.р. Усольский, г.п. Тайтурское, тер. Промышленная, зд.1",ОМНИ,+,+,,,,C
2044,РОССИЯ,Иркутская область,Средний,Р-255,"п. Средний, а/д Красноярск-Иркутск, 1790 км",ОМНИ,+,+,,,,
2045,РОССИЯ,Иркутская область,Тайшет,,"Транспортная ул., 115а, Тайшет, Иркутская обл., Россия, 665008",ОПТИ,+,+,,,,T
2046,РОССИЯ,Иркутская область,Тангуй,а/д,"Братский район, п.Тангуй",Братский Бензин,,,,,,A
2047,РОССИЯ,Иркутская область,Тельма,,"Усольский р-он, рп Тельма, ул. Крупской, 73",БРК,+,+,,,,A
2048,РОССИЯ,Иркутская область,Тулун,М53,"М53, 1456км, Иркутская область, город Тулун, улица Российская, 2а, справа от Иркутска",Сибирский Регион,+,+,,,,A
2049,РОССИЯ,Иркутская область,Тулун,М53,"М53, 1456км, Иркутская область, город Тулун, улица Гидролизная, 68, справа от Иркутска",Сибирский Регион,+,+,,,,A
2050,РОССИЯ,Иркутская область,Тулун,М53,"Иркутская обл., г. Тулун, ул. Трактовая, 22,  слева от Иркутска",Сибирский Регион,+,+,,,,A
2051,РОССИЯ,Иркутская область,Тулун,,"Иркутская обл., Тулунский р-н, г. Тулун, ул. Кирова, 3",Сибирский Регион,+,+,,,,A
2052,РОССИЯ,Иркутская область,Тулун,,"Иркутская обл., г. Тулун, ул. Гоголя, 45, около клуба ""777""",Сибирский Регион,+,+,,,,A
2053,РОССИЯ,Иркутская область,Уриковское сельское поселение,,"Иркутский р-он, 2,5 кс юго-восточнее д. Глазунова («Александровский тракт»)",КрайсНефть,+,+,,,,C
2054,РОССИЯ,Иркутская область,Усолье-сибирское,,"пр-кт Комсомольский,107",КрайсНефть,+,+,+,,,C
2055,РОССИЯ,Иркутская область,Усолье-сибирское,,Московский тракт (район кинотеатра «Кристалл»),КрайсНефть,+,+,+,,,C
2056,РОССИЯ,Иркутская область,Усолье-сибирское,,"Московский тракт (выезд из города в сторону г. Иркутска, район рынка «Водопад»)",КрайсНефть,+,+,+,,,C
2057,РОССИЯ,Иркутская область,Усть-Илимск,,"Иркутская обл., г.Усть-Илимск, Усть-Илимское шоссе, 7, правобережная часть города, АЗС №7",Илим Роско,+,+,,,,A
2058,РОССИЯ,Иркутская область,Усть-Илимск,,"Иркутская обл., г.Усть-Илимск, 3-й проезд, правобережная часть города, промплощадка УИ ЛПК, АЗС №6",Илим Роско,+,+,,,,A
2059,РОССИЯ,Иркутская область,Усть-Илимск,,"ул. Партизанская, 4",Илим Роско,+,+,,,,A
2060,РОССИЯ,Иркутская область,Усть-Илимск,,"пр-кт Мира, 38",Илим Роско,+,+,,,,A
2061,РОССИЯ,Иркутская область,Усть-Илимск,,"г. Усть-Илимск, правобережная часть города, промплощадка УИ ЛПК",АЗС,+,+,,,,
2062,РОССИЯ,Иркутская область,Усть-Илимск,,"г. Усть-Илимск, ул. Партизанская, 4, бело-оранжевая",АЗС,+,+,,,,
2063,РОССИЯ,Иркутская область,Усть-Кут,,"Иркутская обл., п. Хребтовое, перечение а/д Велюй, перекрёсток Хребтовое-Железногорск-Новая Игирма",Илим Роско,+,+,,,,A
2064,РОССИЯ,Иркутская область,Усть-Ордынский,,"тракт Иркутск-Качуг, 68 км",КрайсНефть,+,+,,,,C
2065,РОССИЯ,Иркутская область,Ухтуй,М53,"М53, 1623 км+50м, Иркутская область, Зиминский район, Ухтуй,  слева от Иркутска",АЗС,+,+,,,,A
2066,РОССИЯ,Иркутская область,Хомутово,,"ул. Трактовая, 1А",КрайсНефть,+,+,,,,C
2067,РОССИЯ,Иркутская область,Худорожкина,,"Иркутская обл., Черемховский р-н, 1768км, Р255 Сибирь, АЗС съезд налево",СК,+,+,,,,A
2068,РОССИЯ,Иркутская область,Худорожкина,,"Иркутская обл., Черемховский р-н, 1768км Р255 Сибирь АЗС съезд направо",СК,+,+,,,,A
2069,РОССИЯ,Иркутская область,Чекановский,,"Иркутская обл., Братский р-н, б.н.п. п. Чекановский, 17 км до Братска, территория Братского Алюминеврго Завода, АЗС ""БрАЗ""",Братский Бензин,+,+,,,,A
2070,РОССИЯ,Иркутская область,Черемхово,,"Иркутская обл., г. Черемхово, ул. Маяковского 87А",КрайсНефть,+,+,,,,C
2071,РОССИЯ,Иркутская область,Черемхово,,"Черемховский р-н, 1660 м. восточнее д. Жмурово",БРК,+,+,,,,A
2072,РОССИЯ,Иркутская область,Черемхово,,"ул. Первомайская, 211А",КрайсНефть,+,+,+,,,C
2073,РОССИЯ,Иркутская область,Черемхово,,"Иркутская обл., г.Черемхово, ул. Маяковского, д. 167 А",БРК,+,+,,,,R
2074,РОССИЯ,Иркутская область,Шаманаева,Р-255,"д. Шаманаева, ул. Трактовая, 4",ОМНИ,+,+,,,,
2075,РОССИЯ,Иркутская область,Шара-Тогот,,"Иркутская обл., Ольхонский р-он, с. Шара-Тогот, АЗС №39 ""Тогот""",КрайсНефть,+,+,,,,C
2076,РОССИЯ,Иркутская область,Шароны,,"Ангарский район, 1860 км автодороги Новосибирск-Иркутск, строение 1, АЗС №21",ОМНИ,+,+,,,,C
2077,РОССИЯ,Иркутская область,Шароны,Р-255,"п. Шароны, трасса М-53 ""Байкал"", 1859 км Иркутск-Новосибирск-Мегет",ОМНИ,+,+,,,,
2078,РОССИЯ,Иркутская область,Шелехов,,"62/1, 4-й микрорайон,район остановки «Конечная»",КрайсНефть,+,+,+,,,C
2079,РОССИЯ,Иркутская область,Шелехов,,"Иркутская область, г. Шелехов, Култукский тракт 2а (АЗС Прага)",БРК,+,+,+,,,R
2080,РОССИЯ,Кабардино-Балкарская республика,,Е50,"Кабардино-Балкарская, р-н Зольский, а/д Кавказ, справа, 515 км",Лукойл,+,+,+,,"AdBlue, Доп. товары",
